Iteracion,numAdders,numRemovers,Time (ms)
35,10000,6,4,147.521559
35,10000,7,3,84.225783
35,10000,8,2,81.676702
35,10000,9,1,583.606281
36,10000,1,9,24.602144
36,10000,2,8,269.862621
36,10000,3,7,67.84976
36,10000,4,6,451.015601
36,10000,5,5,552.585522
36,10000,6,4,269.375648
36,10000,7,3,464.79413
36,10000,8,2,350.161775
36,10000,9,1,545.797188
37,10000,1,9,23.575387
37,10000,2,8,556.125036
37,10000,3,7,424.541513
37,10000,4,6,521.099277
37,10000,5,5,564.203794
37,10000,6,4,567.658666
37,10000,7,3,256.581297
37,10000,8,2,305.695877
37,10000,9,1,542.894176
38,10000,1,9,15.668907
38,10000,2,8,371.68905
38,10000,3,7,486.122041
38,10000,4,6,464.278825
38,10000,5,5,576.816893
38,10000,6,4,577.651579
38,10000,7,3,153.588179
38,10000,8,2,267.254627
38,10000,9,1,653.077431
39,10000,1,9,52.19349
39,10000,2,8,503.591072
39,10000,3,7,5.75917
39,10000,4,6,470.86202
39,10000,5,5,578.161111
39,10000,6,4,406.610937
39,10000,7,3,558.113037
39,10000,8,2,301.628403
39,10000,9,1,562.147088
40,10000,1,9,12.269829
40,10000,2,8,232.938215
40,10000,3,7,449.960539
40,10000,4,6,492.190818
40,10000,5,5,438.635648
40,10000,6,4,518.041816
40,10000,7,3,514.131003
40,10000,8,2,538.091062
40,10000,9,1,533.225831
41,10000,1,9,320.747903
41,10000,2,8,424.017363
41,10000,3,7,86.899888
41,10000,4,6,567.031536
41,10000,5,5,625.988153
41,10000,6,4,643.181224
41,10000,7,3,541.320357
41,10000,8,2,543.2159
41,10000,9,1,573.120083
42,10000,1,9,23.791847
42,10000,2,8,534.86456
42,10000,3,7,326.164212
42,10000,4,6,494.77048
42,10000,5,5,571.762349
42,10000,6,4,406.876183
42,10000,7,3,567.992445
42,10000,8,2,372.174942
42,10000,9,1,511.827183
43,10000,1,9,50.17273
43,10000,2,8,51.010019
43,10000,3,7,507.706514
43,10000,4,6,443.73369
43,10000,5,5,562.968463
43,10000,6,4,228.505431
43,10000,7,3,5.477922
43,10000,8,2,5.785463
43,10000,9,1,527.54739
44,10000,1,9,56.716996
44,10000,2,8,334.952961
44,10000,3,7,330.110659
44,10000,4,6,565.062392
44,10000,5,5,579.486992
44,10000,6,4,574.654456
44,10000,7,3,13.896933
44,10000,8,2,483.467077
44,10000,9,1,558.804128
45,10000,1,9,30.089685
45,10000,2,8,459.090205
45,10000,3,7,532.938705
45,10000,4,6,526.007916
45,10000,5,5,568.884093
45,10000,6,4,35.389326
45,10000,7,3,199.784545
45,10000,8,2,577.223532
45,10000,9,1,239.699573
46,10000,1,9,208.437799
46,10000,2,8,327.021768
46,10000,3,7,488.246231
46,10000,4,6,511.851542
46,10000,5,5,570.721962
46,10000,6,4,5.579138
46,10000,7,3,554.800606
46,10000,8,2,199.692182
46,10000,9,1,572.268477
47,10000,1,9,19.275364
47,10000,2,8,294.846884
47,10000,3,7,422.213097
47,10000,4,6,401.952676
47,10000,5,5,583.51182
47,10000,6,4,79.618689
47,10000,7,3,213.471208
47,10000,8,2,545.761332
47,10000,9,1,547.052876
48,10000,1,9,5.456992
48,10000,2,8,54.828641
48,10000,3,7,316.979824
48,10000,4,6,441.482778
48,10000,5,5,571.149814
48,10000,6,4,376.880639
48,10000,7,3,83.94952
48,10000,8,2,545.534852
48,10000,9,1,562.025892
49,10000,1,9,107.638489
49,10000,2,8,64.378631
49,10000,3,7,411.876812
49,10000,4,6,536.175116
49,10000,5,5,576.19387
49,10000,6,4,571.635531
49,10000,7,3,551.034998
49,10000,8,2,436.725827
49,10000,9,1,498.073419
