Iteracion,numAdders,numRemovers,Time (ms)
48,10000,5,5,1580.825991
48,10000,6,4,1897.355887
48,10000,7,3,1730.67139
48,10000,8,2,1758.626765
48,10000,9,1,1738.855116
49,10000,1,9,1262.705295
49,10000,2,8,309.984258
49,10000,3,7,1509.737972
49,10000,4,6,1462.929443
49,10000,5,5,1686.937769
49,10000,6,4,1863.58783
49,10000,7,3,1621.631728
49,10000,8,2,1745.792237
49,10000,9,1,1755.652061
